iDR5_Field_Name,Field,PID,NAME,RA,DEC,RA_d,DEC_d,Reduction,Photometry,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
HYDRA-0011,HYDRA-0011,HYDRA,HYDRA_0011,10:03:05,-23:54:31,150.7708333,-23.90861111,JYPE,aperture,19.8935,19.3059,19.337,20.3635,20.5487,22.779,20.7361,22.7102,20.2114,22.4935,20.7462,21.9065
HYDRA_0012,HYDRA-0012,HYDRA,HYDRA_0012,10:09:14,-23:54:31,152.3083333,-23.90861111,MAR,aperture,20.7986,20.2222,20.2351,21.1622,21.2992,23.6069,21.5467,23.6403,21.1172,23.3815,21.6573,22.8014
HYDRA_0013,HYDRA-0013,HYDRA,HYDRA_0013,10:15:23,-23:54:31,153.8458333,-23.90861111,MAR,aperture,20.823,20.2275,20.2436,21.1668,21.3053,23.604,21.5461,23.6268,21.102,23.3648,21.6378,22.7887
HYDRA_0014,HYDRA-0014,HYDRA,HYDRA_0014,10:21:32,-23:54:31,155.3833333,-23.90861111,MAR,aperture,20.7549,20.1634,20.1674,21.0594,21.1701,23.4707,21.4139,23.5584,21.0433,23.313,21.6078,22.7119
HYDRA_0015,HYDRA-0015,HYDRA,HYDRA_0015,10:27:42,-23:54:31,156.925,-23.90861111,MAR,aperture,20.8883,20.2158,20.2859,21.1945,21.3421,23.6112,21.543,23.5877,21.0061,23.3138,21.3916,22.6448
HYDRA_0016,HYDRA-0016,HYDRA,HYDRA_0016,10:33:51,-23:54:31,158.4625,-23.90861111,MAR,aperture,20.8647,20.2428,20.2469,21.1364,21.262,23.5546,21.4952,23.599,21.0857,23.3425,21.6268,22.7785
HYDRA_0017,HYDRA-0017,HYDRA,HYDRA_0017,10:40:00,-23:54:31,160.0,-23.90861111,MAR,aperture,20.7913,20.161,20.1793,21.0829,21.227,23.5483,21.4872,23.5379,20.937,23.1886,21.4329,22.5591
HYDRA_0018,HYDRA-0018,HYDRA,HYDRA_0018,10:46:09,-23:54:31,161.5375,-23.90861111,MAR,aperture,20.8299,20.2038,20.2099,21.0909,21.1974,23.4836,21.4174,23.5901,21.0642,23.3391,21.6211,22.756
HYDRA_0019,HYDRA-0019,HYDRA,HYDRA_0019,10:52:18,-23:54:31,163.075,-23.90861111,MAR,aperture,20.8893,20.2412,20.2433,21.132,21.2514,23.5523,21.5003,23.6002,21.0833,23.3462,21.6227,22.7633
HYDRA_0020,HYDRA-0020,HYDRA,HYDRA_0020,10:58:28,-23:54:31,164.6166667,-23.90861111,MAR,aperture,20.8536,20.2317,20.2612,21.1717,21.3155,23.5994,21.5349,23.5862,21.0614,23.319,21.5898,22.7289
HYDRA-0021,HYDRA-0021,HYDRA,HYDRA_0021,10:04:41,-25:18:01,151.1708333,-25.30027778,JYPE,aperture,19.9901,19.3842,19.4598,20.4786,20.6586,22.8881,20.8067,22.7649,20.2491,22.5217,20.7873,21.9377
HYDRA_0022,HYDRA-0022,HYDRA,HYDRA_0022,10:10:55,-25:18:01,152.7291667,-25.30027778,MAR,aperture,20.8784,20.2615,20.272,21.1699,21.3016,23.5902,21.5245,23.6168,21.0939,23.3544,21.6298,22.7795
HYDRA_0023,HYDRA-0023,HYDRA,HYDRA_0023,10:17:09,-25:18:01,154.2875,-25.30027778,MAR,aperture,20.865,20.2565,20.2819,21.1941,21.335,23.6303,21.57,23.6377,21.1114,23.3709,21.6479,22.7969
HYDRA_0024,HYDRA-0024,HYDRA,HYDRA_0024,10:23:23,-25:18:01,155.8458333,-25.30027778,MAR,aperture,20.7382,20.1595,20.194,21.114,21.2579,23.5665,21.5118,23.6039,21.0868,23.3488,21.6344,22.7886
HYDRA_0025,HYDRA-0025,HYDRA,HYDRA_0025,10:29:37,-25:18:01,157.4041667,-25.30027778,MAR,aperture,20.8925,20.2751,20.267,21.1596,21.2812,23.5653,21.4971,23.6234,21.1027,23.3783,21.6527,22.8084
HYDRA_0026,HYDRA-0026,HYDRA,HYDRA_0026,10:35:51,-25:18:01,158.9625,-25.30027778,MAR,aperture,20.8121,20.1982,20.2107,21.1533,21.24,23.5257,21.4671,23.5705,21.0499,23.3072,21.6005,22.694
HYDRA_0027,HYDRA-0027,HYDRA,HYDRA_0027,10:42:05,-25:18:01,160.5208333,-25.30027778,MAR,aperture,20.7313,20.111,20.1098,21.0097,21.128,23.4459,21.3929,23.5346,21.0259,23.2865,21.5964,22.6777
HYDRA_0028,HYDRA-0028,HYDRA,HYDRA_0028,10:48:19,-25:18:01,162.0791667,-25.30027778,MAR,aperture,20.948,20.3384,20.3416,21.2469,21.4053,23.6759,21.6181,23.6434,21.1278,23.3845,21.6508,22.8192
HYDRA_0029,HYDRA-0029,HYDRA,HYDRA_0029,10:54:33,-25:18:01,163.6375,-25.30027778,MAR,aperture,20.9694,20.3408,20.356,21.2607,21.4104,23.6857,21.628,23.6618,21.1333,23.3848,21.6602,22.7978
HYDRA_0030,HYDRA-0030,HYDRA,HYDRA_0030,10:00:00,-26:41:23,150.0,-26.68972222,MAR,aperture,20.8934,20.288,20.3141,21.2361,21.3759,23.6491,21.5763,23.6282,21.1009,23.3573,21.6399,22.7674
HYDRA-0031,HYDRA-0031,HYDRA,HYDRA_0031,10:06:19,-26:41:23,151.5791667,-26.68972222,JYPE,aperture,20.0074,19.3972,19.4706,20.4933,20.6865,22.8997,20.8179,22.7762,20.2617,22.534,20.7996,21.9547
HYDRA_0032,HYDRA-0032,HYDRA,HYDRA_0032,10:12:38,-26:41:23,153.1583333,-26.68972222,MAR,aperture,20.929,20.3136,20.3451,21.2627,21.4067,23.6727,21.6009,23.639,21.1192,23.3701,21.648,22.79
HYDRA_0033,HYDRA-0033,HYDRA,HYDRA_0033,10:18:57,-26:41:23,154.7375,-26.68972222,MAR,aperture,20.9243,20.3177,20.3391,21.2483,21.3898,23.6663,21.5982,23.6416,21.111,23.3669,21.6456,22.7838
HYDRA_0034,HYDRA-0034,HYDRA,HYDRA_0034,10:25:16,-26:41:23,156.3166667,-26.68972222,MAR,aperture,20.9608,20.3346,20.3628,21.2659,21.3949,23.6678,21.5926,23.6475,21.1194,23.3745,21.6507,22.7967
HYDRA-0035,HYDRA-0035,HYDRA,HYDRA_0035,10:31:35,-26:41:23,157.8958333,-26.68972222,JYPE,aperture,20.0004,19.3907,19.4194,20.4222,20.5919,22.8379,20.7638,22.7465,20.2399,22.5055,20.7755,21.8968
HYDRA-0036,HYDRA-0036,HYDRA,HYDRA_0036,10:37:54,-26:41:23,159.475,-26.68972222,JYPE,aperture,19.8771,19.2397,19.257,20.2426,20.4002,22.7467,20.611,22.7219,20.1923,22.5058,20.7546,21.8993
HYDRA-0037,HYDRA-0037,HYDRA,HYDRA_0037,10:44:13,-26:41:23,161.0541667,-26.68972222,JYPE,aperture,19.9698,19.3634,19.3926,20.4037,20.5789,22.836,20.7643,22.744,20.2363,22.5057,20.7743,21.9003
HYDRA_0038,HYDRA-0038,HYDRA,HYDRA_0038,10:50:32,-26:41:23,162.6333333,-26.68972222,MAR,aperture,20.9397,20.3078,20.3252,21.2489,21.3971,23.6716,21.6037,23.643,21.1084,23.3771,21.6423,22.8192
HYDRA-0039,HYDRA-0039,HYDRA,HYDRA_0039,10:56:51,-26:41:23,164.2125,-26.68972222,JYPE,aperture,19.986,19.3729,19.4137,20.421,20.6086,22.8617,20.7765,22.755,20.2472,22.5167,20.7809,21.9219
HYDRA_0040,HYDRA-0040,HYDRA,HYDRA_0040,10:05:19,-28:04:38,151.3291667,-28.07722222,MAR,aperture,20.8885,20.2792,20.2277,21.2152,21.3595,23.6276,21.5674,23.607,21.0811,23.3401,21.6167,22.76
HYDRA-0041,HYDRA-0041,HYDRA,HYDRA_0041,10:11:41,-28:04:38,152.9208333,-28.07722222,JYPE,aperture,19.9995,19.3978,19.4386,20.453,20.6342,22.8724,20.7963,22.7544,20.2478,22.516,20.784,21.9217
HYDRA_0042,HYDRA-0042,HYDRA,HYDRA_0042,10:18:03,-28:04:38,154.5125,-28.07722222,MAR,aperture,20.8352,20.2127,20.2247,21.1383,21.2856,23.571,21.514,23.5682,21.0394,23.308,21.588,22.7257
HYDRA_0043,HYDRA-0043,HYDRA,HYDRA_0043,10:24:25,-28:04:38,156.1041667,-28.07722222,MAR,aperture,20.9618,20.338,20.3572,21.2752,21.4136,23.6905,21.6215,23.6585,21.121,23.3769,21.6453,22.8041
HYDRA-0044,HYDRA-0044,HYDRA,HYDRA_0044,10:30:48,-28:04:38,157.7,-28.07722222,JYPE,aperture,19.9266,19.3687,19.4053,20.4082,20.5713,22.8066,20.761,22.7494,20.27,22.519,20.7994,21.9139
HYDRA-0045,HYDRA-0045,HYDRA,HYDRA_0045,10:37:10,-28:04:38,159.2916667,-28.07722222,JYPE,aperture,20.0886,19.4722,19.4893,20.4696,20.631,22.9012,20.7991,22.7934,20.2747,22.5484,20.8,21.9456
HYDRA_0046,HYDRA-0046,HYDRA,HYDRA_0046,10:43:32,-28:04:38,160.8833333,-28.07722222,MAR,aperture,20.8505,20.2032,20.1933,21.0805,21.1792,23.4829,21.4233,23.5646,21.0566,23.3286,21.6173,22.7511
HYDRA_0047,HYDRA-0047,HYDRA,HYDRA_0047,10:49:55,-28:04:38,162.4791667,-28.07722222,MAR,aperture,20.9698,20.3559,20.3822,21.2852,21.4051,23.6819,21.6067,23.6646,21.1325,23.3931,21.6676,22.8193
HYDRA-0048,HYDRA-0048,HYDRA,HYDRA_0048,10:56:17,-28:04:38,164.0708333,-28.07722222,JYPE,aperture,19.9751,19.3448,19.392,20.4198,20.6099,22.8683,20.7755,22.7554,20.2416,22.5243,20.7868,21.9375
HYDRA_0049,HYDRA-0049,HYDRA,HYDRA_0049,10:00:32,-29:27:47,150.1333333,-29.46305556,MAR,aperture,20.8924,20.3176,20.353,21.2617,21.398,23.6813,21.6042,23.6614,21.1316,23.388,21.6619,22.8084
HYDRA-0050,HYDRA-0050,HYDRA,HYDRA_0050,10:07:00,-29:27:47,151.75,-29.46305556,JYPE,aperture,19.9337,19.3357,19.3974,20.4204,20.605,22.8395,20.7678,22.7281,20.2186,22.4689,20.7652,21.8368
HYDRA_0051,HYDRA-0051,HYDRA,HYDRA_0051,10:13:27,-29:27:47,153.3625,-29.46305556,MAR,aperture,20.8826,20.2814,20.2845,21.2067,21.3396,23.5876,21.5462,23.5862,20.97,23.319,21.5915,22.7532
HYDRA-0052,HYDRA-0052,HYDRA,HYDRA_0052,10:19:55,-29:27:47,154.9791667,-29.46305556,JYPE,aperture,20.0118,19.4035,19.4396,20.4657,20.6478,22.8827,20.7988,22.7619,20.2532,22.5262,20.7955,21.9395
HYDRA-0053,HYDRA-0053,HYDRA,HYDRA_0053,10:26:22,-29:27:47,156.5916667,-29.46305556,JYPE,aperture,20.1352,19.5255,19.5427,20.5432,20.6994,22.9303,20.8487,22.8123,20.2987,22.5702,20.8196,21.9858
HYDRA_0054,HYDRA-0054,HYDRA,HYDRA_0054,10:32:50,-29:27:47,158.2083333,-29.46305556,MAR,aperture,20.8759,20.2333,20.2679,21.1669,21.3085,23.5834,21.5208,23.5913,21.0718,23.3382,21.6163,22.7566
HYDRA-0055,HYDRA-0055,HYDRA,HYDRA_0055,10:39:17,-29:27:47,159.8208333,-29.46305556,JYPE,aperture,20.1143,19.5123,19.5189,20.5281,20.6736,22.912,20.8203,22.7566,20.2909,22.5484,20.8014,21.9462
HYDRA-0056,HYDRA-0056,HYDRA,HYDRA_0056,10:45:44,-29:27:47,161.4333333,-29.46305556,JYPE,aperture,20.0118,19.3884,19.4787,20.4893,20.6872,22.9021,20.821,22.7748,20.2633,22.5343,20.7993,21.9536
HYDRA_0057,HYDRA-0057,HYDRA,HYDRA_0057,10:52:12,-29:27:47,163.05,-29.46305556,MAR,aperture,20.8641,20.1887,20.2401,21.1568,21.3262,23.6328,21.5465,23.6197,21.0999,23.3438,21.6312,22.7691
HYDRA_0058,HYDRA-0058,HYDRA,HYDRA_0058,10:58:39,-29:27:47,164.6625,-29.46305556,MAR,aperture,20.9568,20.3181,20.362,21.2623,21.4074,23.6639,21.5956,23.5325,21.1132,23.3563,21.6394,22.7695
HYDRA_0059,HYDRA-0059,HYDRA,HYDRA_0059,10:02:11,-30:50:50,150.5458333,-30.84722222,MAR,aperture,20.8366,20.2294,20.2667,21.1702,21.3073,23.6037,21.5408,23.638,21.1143,23.3853,21.6562,22.8275
HYDRA_0060,HYDRA-0060,HYDRA,HYDRA_0060,10:08:44,-30:50:50,152.1833333,-30.84722222,MAR,aperture,20.9584,20.348,20.3959,21.2969,21.4376,23.7012,21.6312,23.6662,21.1333,23.3808,21.6622,22.7828
HYDRA-0061,HYDRA-0061,HYDRA,HYDRA_0061,10:15:16,-30:50:50,153.8166667,-30.84722222,JYPE,aperture,19.9617,19.355,19.4063,20.4423,20.6187,22.844,20.7792,22.7485,20.2433,22.5155,20.7851,21.932
HYDRA-0062,HYDRA-0062,HYDRA,HYDRA_0062,10:21:49,-30:50:50,155.4541667,-30.84722222,JYPE,aperture,20.6684,19.5101,19.5437,20.5311,20.6839,22.9153,20.8266,22.8047,20.3034,23.3414,20.8174,22.769
HYDRA_0063,HYDRA-0063,HYDRA,HYDRA_0063,10:28:22,-30:50:50,157.0916667,-30.84722222,MAR,aperture,20.8547,20.2158,20.2587,21.1727,21.3261,23.6038,21.5411,23.6019,21.0777,23.3282,21.4834,22.7218
HYDRA-0064,HYDRA-0064,HYDRA,HYDRA_0064,10:34:55,-30:50:50,158.7291667,-30.84722222,JYPE,aperture,19.8994,19.2684,19.3401,20.3772,20.5068,22.7805,20.6957,22.716,20.2067,22.4798,20.7522,21.8811
HYDRA_0065,HYDRA-0065,HYDRA,HYDRA_0065,10:41:27,-30:50:50,160.3625,-30.84722222,MAR,aperture,20.744,20.1168,20.2052,21.1068,21.2595,23.5447,21.4931,23.5528,21.0254,23.2835,21.5821,22.6896
HYDRA_0066,HYDRA-0066,HYDRA,HYDRA_0066,10:48:00,-30:50:50,162.0,-30.84722222,MAR,aperture,20.8668,20.231,20.2752,21.1824,21.3268,23.6012,21.5333,23.5862,21.0579,23.3167,21.5988,22.738
HYDRA_0067,HYDRA-0067,HYDRA,HYDRA_0067,10:54:33,-30:50:50,163.6375,-30.84722222,MAR,aperture,20.9363,20.3073,20.3425,21.2419,21.3819,23.6612,21.5829,23.643,21.1144,23.3712,21.6502,22.803
HYDRA_0068,HYDRA-0068,HYDRA,HYDRA_0068,10:03:52,-32:13:45,150.9666667,-32.22916667,MAR,aperture,20.8086,20.2159,20.2567,21.1655,21.2974,23.5919,21.5308,23.6221,21.106,23.369,21.6498,22.7995
HYDRA-0069,HYDRA-0069,HYDRA,HYDRA_0069,10:10:30,-32:13:45,152.625,-32.22916667,JYPE,aperture,19.9713,19.3623,19.3999,20.4088,20.5918,22.8502,20.7577,22.7517,20.2352,22.5158,20.7825,21.9247
HYDRA-0070,HYDRA-0070,HYDRA,HYDRA_0070,10:17:09,-32:13:45,154.2875,-32.22916667,JYPE,aperture,19.9843,19.3882,19.4352,20.428,20.6092,22.8455,20.7596,22.7373,20.2339,22.4903,20.761,21.8707
HYDRA_0071,HYDRA-0071,HYDRA,HYDRA_0071,10:23:47,-32:13:45,155.9458333,-32.22916667,MAR,aperture,20.7815,20.1719,20.1818,21.0761,21.2035,23.4931,21.4249,23.5676,21.0534,23.3245,21.6106,22.7289
HYDRA_0072,HYDRA-0072,HYDRA,HYDRA_0072,10:30:25,-32:13:45,157.6041667,-32.22916667,MAR,aperture,20.7603,20.1492,20.1692,21.0741,21.196,23.484,21.4318,23.5513,21.0376,23.2819,21.5963,22.6476
HYDRA_0073,HYDRA-0073,HYDRA,HYDRA_0073,10:37:03,-32:13:45,159.2625,-32.22916667,MAR,aperture,20.8754,20.2471,20.2636,21.1707,21.2972,23.5778,21.5192,23.6112,21.09,23.3455,21.6327,22.7539
HYDRA_0074,HYDRA-0074,HYDRA,HYDRA_0074,10:43:41,-32:13:45,160.9208333,-32.22916667,MAR,aperture,20.7996,20.1721,20.1785,21.0474,21.1574,23.4489,21.3901,23.5414,21.0406,23.3041,21.6049,22.7088
HYDRA-0075,HYDRA-0075,HYDRA,HYDRA_0075,10:50:19,-32:13:45,162.5791667,-32.22916667,JYPE,aperture,20.7459,20.1082,20.1229,21.0846,21.2239,22.8056,20.741,22.684,20.2119,22.2912,20.7703,21.9065
HYDRA_0076,HYDRA-0076,HYDRA,HYDRA_0076,10:56:58,-32:13:45,164.2416667,-32.22916667,MAR,aperture,20.3678,19.7389,19.7504,20.6367,20.7424,23.0442,21.0007,23.2452,20.7399,23.1068,21.4291,22.5237
HYDRA-0077,HYDRA-0077,HYDRA,HYDRA_0077,10:01:41,-33:36:33,150.4208333,-33.60916667,JYPE,aperture,19.8547,19.2943,19.3866,20.3976,20.5904,22.8063,20.7534,22.7105,20.2123,22.4533,20.758,21.821
HYDRA_0078,HYDRA-0078,HYDRA,HYDRA_0078,10:08:27,-33:36:33,152.1125,-33.60916667,MAR,aperture,20.8165,20.2204,20.2523,21.1656,21.2978,23.5944,21.5329,23.6306,21.109,23.3741,21.6474,22.801
HYDRA_0079,HYDRA-0079,HYDRA,HYDRA_0079,10:15:13,-33:36:33,153.8041667,-33.60916667,MAR,aperture,20.7143,20.1254,20.1523,21.0612,21.181,23.4657,21.4031,23.5531,21.044,23.3224,21.6099,22.739
HYDRA_0080,HYDRA-0080,HYDRA,HYDRA_0080,10:21:58,-33:36:33,155.4916667,-33.60916667,MAR,aperture,20.6493,20.0624,20.0943,21.0041,21.1347,23.4535,21.3856,23.5014,20.9926,23.2626,21.5107,22.7132
HYDRA_0081,HYDRA-0081,HYDRA,HYDRA_0081,10:28:44,-33:36:33,157.1833333,-33.60916667,MAR,aperture,20.6865,20.0719,20.0943,20.9895,21.115,23.3785,21.3321,23.4919,20.9712,23.2816,21.564,22.6929
HYDRA_0082,HYDRA-0082,HYDRA,HYDRA_0082,10:35:30,-33:36:33,158.875,-33.60916667,MAR,aperture,20.5594,20.0198,20.0803,21.0066,21.1574,23.4839,21.4269,23.5406,21.0337,23.279,21.5855,22.6692
HYDRA_0083,HYDRA-0083,HYDRA,HYDRA_0083,10:42:15,-33:36:33,160.5625,-33.60916667,MAR,aperture,20.8672,20.2277,20.2345,21.1254,21.2493,23.5458,21.4914,23.5954,21.0766,23.3478,21.621,22.7941
HYDRA-0084,HYDRA-0084,HYDRA,HYDRA_0084,10:49:01,-33:36:33,162.2541667,-33.60916667,JYPE,aperture,20.0881,19.4703,19.5008,20.487,20.6532,22.9088,20.8118,22.7983,20.2828,22.5615,20.8151,21.9763
HYDRA-0085,HYDRA-0085,HYDRA,HYDRA_0085,10:55:46,-33:36:33,163.9416667,-33.60916667,JYPE,aperture,19.856,19.2259,19.9976,20.9418,21.0826,22.7348,21.3287,22.6977,20.9802,22.4691,21.5825,21.8679
HYDRA-0086,HYDRA-0086,HYDRA,HYDRA_0086,10:03:26,-34:59:12,150.8583333,-34.98666667,JYPE,aperture,19.8339,19.2854,19.3685,20.3835,20.5748,22.7874,20.7532,22.7076,20.2278,22.4854,20.7754,21.9029
HYDRA_0087,HYDRA-0087,HYDRA,HYDRA_0087,10:10:17,-34:59:12,152.5708333,-34.98666667,MAR,aperture,20.8927,20.2792,20.2903,21.1972,21.331,23.615,21.5514,23.6269,21.0313,23.3604,21.5107,22.796
HYDRA_0088,HYDRA-0088,HYDRA,HYDRA_0088,10:17:09,-34:59:12,154.2875,-34.98666667,MAR,aperture,20.8046,20.2019,20.2304,21.1443,21.2751,23.5558,21.4926,23.5895,21.0701,23.3329,21.6162,22.743
HYDRA_0089,HYDRA-0089,HYDRA,HYDRA_0089,10:24:00,-34:59:12,156.0,-34.98666667,MAR,aperture,20.8987,20.2693,20.2885,21.181,21.3069,23.6017,21.5392,23.643,21.1148,23.377,21.6554,22.7933
HYDRA_0091,HYDRA-0091,HYDRA,HYDRA_0091,10:37:43,-34:59:12,159.4291667,-34.98666667,MAR,aperture,20.6879,20.0704,20.07,20.9372,21.0319,23.3143,21.26,23.4564,21.0009,23.2521,21.5891,22.6517
HYDRA_0092,HYDRA-0092,HYDRA,HYDRA_0092,10:44:34,-34:59:12,161.1416667,-34.98666667,MAR,aperture,20.7722,20.1754,20.1932,21.0903,21.2065,23.5006,21.434,23.5619,21.0472,23.3092,21.5954,22.7056
HYDRA-0093,HYDRA-0093,HYDRA,HYDRA_0093,10:51:26,-34:59:12,162.8583333,-34.98666667,JYPE,aperture,19.9545,19.3197,19.3587,20.3579,20.5329,22.8245,20.7307,22.7491,20.2291,22.5129,20.7789,21.9029
HYDRA_0094,HYDRA-0094,HYDRA,HYDRA_0094,10:58:17,-34:59:12,164.5708333,-34.98666667,MAR,aperture,20.6987,20.0996,20.1465,21.0212,21.0404,23.4656,21.4093,23.5358,21.0148,23.282,21.5285,22.7097
HYDRA-0095,HYDRA-0095,HYDRA,HYDRA_0095,10:05:13,-36:21:45,151.3041667,-36.3625,JYPE,aperture,18.9745,18.6526,18.789,19.8231,20.0469,21.9372,20.2785,21.9099,19.9039,21.7184,20.5222,21.1527
HYDRA-0096,HYDRA-0096,HYDRA,HYDRA_0096,10:12:10,-36:21:45,153.0416667,-36.3625,JYPE,aperture,20.1082,19.5118,19.5479,20.5311,20.6908,22.9127,20.8382,22.8048,20.3018,22.5612,20.821,21.969
HYDRA_0097,HYDRA-0097,HYDRA,HYDRA_0097,10:19:08,-36:21:45,154.7833333,-36.3625,MAR,aperture,20.8175,20.1969,20.2219,21.1188,21.2428,23.5269,21.4634,23.5803,21.0651,23.3199,21.6134,22.7174
HYDRA_0098,HYDRA-0098,HYDRA,HYDRA_0098,10:26:05,-36:21:45,156.5208333,-36.3625,MAR,aperture,20.7915,20.1811,20.1988,21.0904,21.1976,23.4787,21.4117,23.5569,21.055,23.3268,21.6139,22.7405
HYDRA_0099,HYDRA-0099,HYDRA,HYDRA_0099,10:33:03,-36:21:45,158.2625,-36.3625,MAR,aperture,20.8746,20.2373,20.2547,21.1326,21.2504,23.5444,21.4915,23.5936,21.0744,23.3379,21.6211,22.758
HYDRA_0100,HYDRA-0100,HYDRA,HYDRA_0100,10:40:00,-36:21:45,160.0,-36.3625,MAR,aperture,20.7135,20.0793,20.1004,20.9868,21.1147,23.4368,21.3853,23.5319,21.03,23.2842,21.5966,22.6719
HYDRA_0101,HYDRA-0101,HYDRA,HYDRA_0101,10:46:57,-36:21:45,161.7375,-36.3625,MAR,aperture,20.8084,20.2007,20.2164,21.111,21.2291,23.5259,21.4665,23.572,21.0534,23.3202,21.5983,22.7273
HYDRA-0102,HYDRA-0102,HYDRA,HYDRA_0102,10:53:55,-36:21:45,163.4791667,-36.3625,JYPE,aperture,19.9463,19.3377,19.3802,20.3881,20.5676,22.8156,20.7472,22.7241,20.222,22.4797,20.76,21.8641
HYDRA-0103,HYDRA-0103,HYDRA,HYDRA_0103,10:02:57,-37:44:10,150.7375,-37.73611111,JYPE,aperture,19.6535,19.1199,19.1782,20.171,20.3455,22.6054,20.5805,22.6118,20.1339,22.3909,20.7049,21.7661
HYDRA-0104,HYDRA-0104,HYDRA,HYDRA_0104,10:10:03,-37:44:10,152.5125,-37.73611111,JYPE,aperture,20.069,19.5049,19.5337,20.5235,20.6765,22.8959,20.8276,23.5766,21.0826,22.5497,20.8116,21.9466
HYDRA_0105,HYDRA-0105,HYDRA,HYDRA_0105,10:17:09,-37:44:10,154.2875,-37.73611111,MAR,aperture,20.6236,20.071,20.1081,21.015,21.1452,23.4507,21.3976,23.5393,21.0345,23.29,21.5905,22.6778
HYDRA_0106,HYDRA-0106,HYDRA,HYDRA_0106,10:24:14,-37:44:10,156.0583333,-37.73611111,MAR,aperture,20.6135,20.0743,20.1256,21.0326,21.1738,23.5012,21.4532,23.564,21.0614,23.3197,21.6095,22.744
HYDRA_0107,HYDRA-0107,HYDRA,HYDRA_0107,10:31:20,-37:44:10,157.8333333,-37.73611111,MAR,aperture,20.8415,20.2246,20.2351,21.1264,21.258,23.554,21.5041,23.593,21.0785,23.3156,21.6226,22.6907
HYDRA_0108,HYDRA-0108,HYDRA,HYDRA_0108,10:38:25,-37:44:10,159.6041667,-37.73611111,MAR,aperture,20.8297,20.2109,20.2348,21.1278,21.2571,23.5546,21.5024,23.5909,21.0675,23.329,21.6115,22.7511
HYDRA_0109,HYDRA-0109,HYDRA,HYDRA_0109,10:45:31,-37:44:10,161.3791667,-37.73611111,MAR,aperture,20.7996,20.1888,20.184,21.0669,21.1688,23.4608,21.3925,23.5384,21.0314,23.2853,21.5882,22.6614
HYDRA_0110,HYDRA-0110,HYDRA,HYDRA_0110,10:52:37,-37:44:10,163.1541667,-37.73611111,MAR,aperture,20.8863,20.2409,20.25,21.1327,21.2563,23.5544,21.4985,23.5986,21.069,23.3431,21.6181,22.774
HYDRA-0111,HYDRA-0111,HYDRA,HYDRA_0111,10:59:42,-37:44:10,164.925,-37.73611111,JYPE,aperture,19.95,19.3318,19.39,20.402,20.5896,22.8522,20.7663,22.7449,20.2347,22.5152,20.787,21.927
HYDRA-0112,HYDRA-0112,HYDRA,HYDRA_0112,10:00:36,-39:06:26,150.15,-39.10722222,JYPE,aperture,19.8387,19.299,19.3624,20.3994,20.5881,22.8016,20.756,22.7013,20.2162,22.4408,20.7603,21.7999
HYDRA_0113,HYDRA-0113,HYDRA,HYDRA_0113,10:07:50,-39:06:26,151.9583333,-39.10722222,MAR,aperture,20.7804,20.2036,20.2298,21.148,21.2835,23.5807,21.5276,23.6182,21.0958,23.3648,21.6424,22.7911
HYDRA_0114,HYDRA-0114,HYDRA,HYDRA_0114,10:15:05,-39:06:26,153.7708333,-39.10722222,MAR,aperture,20.5524,19.9838,20.0178,20.9379,21.0755,23.3706,21.3068,23.4898,20.991,23.2698,21.5813,22.6663
HYDRA_0115,HYDRA-0115,HYDRA,HYDRA_0115,10:22:19,-39:06:26,155.5791667,-39.10722222,MAR,aperture,20.7499,20.1673,20.2031,21.1035,21.2291,23.531,21.472,23.6001,21.087,23.3548,21.6415,22.7774
HYDRA_0116,HYDRA-0116,HYDRA,HYDRA_0116,10:29:33,-39:06:26,157.3875,-39.10722222,MAR,aperture,20.6559,20.0644,20.0851,20.9966,21.1359,23.4531,21.4003,23.5356,21.0183,23.2828,21.5884,22.6693
HYDRA_0117,HYDRA-0117,HYDRA,HYDRA_0117,10:36:47,-39:06:26,159.1958333,-39.10722222,MAR,aperture,20.1184,19.58,19.6463,20.5067,20.3649,22.8136,20.8643,22.626,20.0792,22.4263,20.6805,21.854
HYDRA_0118,HYDRA-0118,HYDRA,HYDRA_0118,10:44:01,-39:06:26,161.0041667,-39.10722222,MAR,aperture,20.7113,20.1318,20.1614,21.0693,21.2018,23.5098,21.4552,23.5529,21.0349,23.2933,21.5836,22.6971
HYDRA_0119,HYDRA-0119,HYDRA,HYDRA_0119,10:51:15,-39:06:26,162.8125,-39.10722222,MAR,aperture,20.8257,20.2123,20.2097,21.0988,21.2105,23.5027,21.4451,23.5652,21.0432,23.3108,21.5863,22.7016
HYDRA-0120,HYDRA-0120,HYDRA,HYDRA_0120,10:58:30,-39:06:26,164.625,-39.10722222,JYPE,aperture,19.969,19.3567,19.4063,20.4295,20.6138,22.8679,20.7847,22.7547,20.2487,22.5174,20.795,21.9287
HYDRA-0121,HYDRA-0121,HYDRA,HYDRA_0121,10:05:32,-40:28:34,151.3833333,-40.47611111,JYPE,aperture,19.9213,19.3576,19.3917,20.4142,20.5848,22.8174,20.7522,22.7125,20.2196,22.4654,20.7499,21.8404
