# wavelength,transmittance,std
8.000000000000000000e+02,8.662034219214489038e-06,4.653661532230900753e-04
8.010000000000000000e+02,7.679782130564500781e-06,1.714466079977652912e-04
8.020000000000000000e+02,7.687750936801088407e-06,1.714466079977652912e-04
8.030000000000000000e+02,7.814419851264340559e-06,2.190429135575903562e-04
8.040000000000000000e+02,7.879297085085487231e-06,2.777979790634143090e-04
8.050000000000000000e+02,7.793211503317531576e-06,2.611164839335468118e-04
8.060000000000000000e+02,8.079670006069349713e-06,4.043950463783569857e-04
8.070000000000000000e+02,8.217119523603812783e-06,4.902071300001972299e-04
8.080000000000000000e+02,8.643153670225234921e-06,6.365151334819269414e-04
8.090000000000000000e+02,8.557563941881273813e-06,7.483314773547882675e-04
8.100000000000000000e+02,9.085034864464800535e-06,9.756634624291265524e-04
8.110000000000000000e+02,9.132398099149403056e-06,1.183856051855609274e-03
8.120000000000000000e+02,1.044231495734838370e-05,1.416033726699867301e-03
8.130000000000000000e+02,1.120627899154487034e-05,1.760509568106331021e-03
8.140000000000000000e+02,1.302544026064209055e-05,2.036931738937490695e-03
8.150000000000000000e+02,1.509003942528927077e-05,2.334004232553094169e-03
8.160000000000000000e+02,1.612324811109027824e-05,2.606499258361372195e-03
8.170000000000000000e+02,1.659842480282184828e-05,2.860016952693981811e-03
8.180000000000000000e+02,1.822445939882033622e-05,3.165645768451222711e-03
8.190000000000000000e+02,2.220690985446507562e-05,3.433995228931344817e-03
8.200000000000000000e+02,2.590862513313962662e-05,3.579063700145189170e-03
8.210000000000000000e+02,3.203476423994830154e-05,3.748279066397799779e-03
8.220000000000000000e+02,3.944824068787339879e-05,3.911276109926376150e-03
8.230000000000000000e+02,4.657311399897958414e-05,4.190838974851134394e-03
8.240000000000000000e+02,6.492889694812203005e-05,4.546060565661951512e-03
8.250000000000000000e+02,8.742471286873749179e-05,5.071797641185156469e-03
8.260000000000000000e+02,1.197733528201769845e-04,5.993734101947506554e-03
8.270000000000000000e+02,1.732655585048301951e-04,7.829567115244700018e-03
8.280000000000000000e+02,2.487185785822546838e-04,1.134213561918743715e-02
8.290000000000000000e+02,3.808120648817023995e-04,1.788961382557719901e-02
8.300000000000000000e+02,6.164292281762805397e-04,3.030934782631532556e-02
8.310000000000000000e+02,1.017455358725132724e-03,5.420800194387794674e-02
8.320000000000000000e+02,1.754412433498742877e-03,1.034292340909786639e-01
8.330000000000000000e+02,3.268901714104616423e-03,2.082785663771508089e-01
8.340000000000000000e+02,6.306822884015504151e-03,4.428943595682538481e-01
