# wavelength,transmittance,std
4.100000000000000000e+02,7.750065750017682176e-05,4.817518536392449355e-03
4.110000000000000000e+02,1.279481071917261598e-04,4.700429810564179037e-03
4.120000000000000000e+02,2.314172977525117032e-04,7.553954078641345049e-03
4.130000000000000000e+02,4.518479796228849939e-04,1.702112769116041410e-02
4.140000000000000000e+02,1.029811950728133640e-03,4.323089991048887498e-02
4.150000000000000000e+02,2.607817649373078434e-03,1.244773315130351804e-01
4.160000000000000000e+02,7.413209834170369529e-03,4.040558872235374688e-01
4.170000000000000000e+02,2.479456739060908327e-02,1.517199946206061689e+00
4.180000000000000000e+02,8.908979449953442764e-02,5.563320247420018738e+00
4.190000000000000000e+02,2.808799177986626150e-01,1.257336487039330386e+01
4.200000000000000000e+02,5.183542441605786255e-01,7.442725853774573963e+00
4.210000000000000000e+02,5.946876414442212599e-01,9.270846741427147819e-01
4.220000000000000000e+02,5.981207766124139180e-01,4.735244816770027843e-01
4.230000000000000000e+02,5.997485204204354714e-01,4.836600880867487073e-01
4.240000000000000000e+02,6.018285726515713030e-01,5.822191759018923163e-01
4.250000000000000000e+02,6.053173593272709319e-01,5.741009430651401457e-01
4.260000000000000000e+02,6.107714185639466775e-01,4.810660379077737470e-01
4.270000000000000000e+02,6.135399075718583894e-01,4.179031373682445261e-01
4.280000000000000000e+02,6.134295559678264453e-01,3.667000667983291162e-01
4.290000000000000000e+02,6.143261940569226809e-01,3.951360287446858410e-01
4.300000000000000000e+02,6.134534228065608996e-01,3.582122338006401008e-01
4.310000000000000000e+02,6.096440703425614061e-01,3.019496477858192307e-01
4.320000000000000000e+02,6.081522204155339617e-01,3.588266370471196454e-01
4.330000000000000000e+02,6.080745371277385125e-01,5.918616282288435837e-01
4.340000000000000000e+02,6.141841269632575262e-01,8.125600755412704101e-01
4.350000000000000000e+02,6.230144323242939874e-01,6.983489805146555485e-01
4.360000000000000000e+02,6.284896617990607393e-01,5.190835649235464588e-01
4.370000000000000000e+02,6.129689581403588994e-01,1.938394785523695374e+00
4.380000000000000000e+02,5.334694117012586112e-01,7.257789832596519553e+00
4.390000000000000000e+02,3.508799690806768123e-01,1.213573975651998893e+01
4.400000000000000000e+02,1.656758843335689180e-01,8.795914060700702919e+00
4.410000000000000000e+02,6.490840144988968552e-02,3.808028459967072621e+00
4.420000000000000000e+02,2.420892162406380888e-02,1.357011117913708986e+00
4.430000000000000000e+02,9.689743657277505653e-03,4.951075927349916639e-01
4.440000000000000000e+02,4.240437340831511130e-03,1.991401848756880755e-01
4.450000000000000000e+02,2.075900534847815657e-03,8.906778941408118044e-02
4.460000000000000000e+02,1.072959240067531458e-03,4.209221598424876115e-02
4.470000000000000000e+02,6.107313559245835253e-04,2.214215778814592958e-02
4.480000000000000000e+02,3.701510615441398343e-04,1.279401296219320229e-02
4.490000000000000000e+02,2.333417837507600120e-04,8.414153540195222492e-03
4.500000000000000000e+02,1.487413380308847278e-04,5.693306365701513751e-03
4.510000000000000000e+02,9.651652910042321921e-05,4.043638225782580572e-03
4.520000000000000000e+02,6.228474858143834812e-05,3.691363110852360300e-03
4.530000000000000000e+02,4.251655194572422346e-05,2.973689338654642370e-03
4.540000000000000000e+02,3.471086818730982252e-05,2.808698609460950988e-03
