# wavelength,transmittance,std
7.400000000000000000e+02,5.583302386266187928e-05,5.594911107696914476e-04
7.410000000000000000e+02,5.861738630661670501e-05,4.824181513244217719e-04
7.420000000000000000e+02,6.340123718234296445e-05,2.428783625395621742e-04
7.430000000000000000e+02,6.782036390743357668e-05,5.021167315686779660e-04
7.440000000000000000e+02,7.232118631079518883e-05,3.208259542638236192e-04
7.450000000000000000e+02,7.907034373012129770e-05,2.386832565759422736e-04
7.460000000000000000e+02,8.594697774582147438e-05,3.942772444036621369e-04
7.470000000000000000e+02,9.176609947807024665e-05,5.000000000000005525e-04
7.480000000000000000e+02,9.829940953230725158e-05,4.878317312145630052e-04
7.490000000000000000e+02,1.061785686579375912e-04,4.902071300001977720e-04
7.500000000000000000e+02,1.151893776060762878e-04,5.009082659620326663e-04
7.510000000000000000e+02,1.252288746709812473e-04,3.942772444036628417e-04
7.520000000000000000e+02,1.347593324264051168e-04,1.407052941362893288e-04
7.530000000000000000e+02,1.459398749886878276e-04,4.988876515698593148e-04
7.540000000000000000e+02,1.586705436400775049e-04,2.386832565759422194e-04
7.550000000000000000e+02,1.734320552708299617e-04,2.777979790634137127e-04
7.560000000000000000e+02,1.887823418146381135e-04,3.333333333333335933e-04
7.570000000000000000e+02,2.049132926816472368e-04,1.714466079977648575e-04
7.580000000000000000e+02,2.231316648592551093e-04,4.819992036541478984e-04
7.590000000000000000e+02,2.444083897089065248e-04,2.972941950052818095e-04
7.600000000000000000e+02,1.230092584633488010e-04,3.892494720807618378e-04
7.610000000000000000e+02,1.015778165778645237e-04,5.009082659620336421e-04
7.620000000000000000e+02,2.507601720027661878e-04,5.009082659620336421e-04
7.630000000000000000e+02,2.078171837840322425e-04,2.611164839335470287e-04
7.640000000000000000e+02,2.387000333734611143e-04,4.286459771622408389e-04
7.650000000000000000e+02,3.501519894505122888e-04,5.103969538555759968e-04
7.660000000000000000e+02,4.010893858025923824e-04,4.595781992350394737e-04
7.670000000000000000e+02,4.821682870475561301e-04,5.416025603090582341e-04
7.680000000000000000e+02,5.734331015573241111e-04,5.389852043470684181e-04
7.690000000000000000e+02,6.710988734282205548e-04,5.545040554177652547e-04
7.700000000000000000e+02,7.615582628335520847e-04,6.016811464722845657e-04
7.710000000000000000e+02,8.619665772643915957e-04,6.356417261637288063e-04
7.720000000000000000e+02,9.649241663695667026e-04,6.708956775095595423e-04
7.730000000000000000e+02,1.079796958313560288e-03,7.222299921881957657e-04
7.740000000000000000e+02,1.210213218877659183e-03,7.555184185763320686e-04
7.750000000000000000e+02,1.359347092108255384e-03,8.179797730328728853e-04
7.760000000000000000e+02,1.526020803869658016e-03,8.969082698049147097e-04
7.770000000000000000e+02,1.712599027260779550e-03,1.037625494418226331e-03
7.780000000000000000e+02,1.922967797902678643e-03,1.041124101123106025e-03
7.790000000000000000e+02,2.160434992683137219e-03,1.153431419896312499e-03
7.800000000000000000e+02,2.427389736589620310e-03,1.284090685617215880e-03
7.810000000000000000e+02,2.733164614377071519e-03,1.385349024322723652e-03
7.820000000000000000e+02,3.087699012270763571e-03,1.489220526912579624e-03
7.830000000000000000e+02,3.497111347447721865e-03,1.583086105100294395e-03
7.840000000000000000e+02,3.973447515193910713e-03,1.812944477022857557e-03
7.850000000000000000e+02,4.520877138317397868e-03,2.035046471561312992e-03
7.860000000000000000e+02,5.148576156086117316e-03,2.157907703439993028e-03
7.870000000000000000e+02,5.868130343592130489e-03,2.307300666067682755e-03
7.880000000000000000e+02,6.705134925788069217e-03,2.792685250630819530e-03
7.890000000000000000e+02,7.670632674309290841e-03,3.192462714240871385e-03
7.900000000000000000e+02,8.788720531621893942e-03,3.633514034983790185e-03
7.910000000000000000e+02,1.007202199373346922e-02,4.057665149398917946e-03
7.920000000000000000e+02,1.154327298162705420e-02,4.546060565661955849e-03
7.930000000000000000e+02,1.316245935813808825e-02,5.131985261794163103e-03
7.940000000000000000e+02,1.509674095504620617e-02,6.026507104350532947e-03
7.950000000000000000e+02,1.729219863187165737e-02,7.259761801474042507e-03
7.960000000000000000e+02,1.963253528207016887e-02,8.449941724740785490e-03
7.970000000000000000e+02,2.235649288977929749e-02,9.558216096610011245e-03
7.980000000000000000e+02,2.542878771472013161e-02,1.070100533368312581e-02
7.990000000000000000e+02,2.890753035369076490e-02,1.244655645858594277e-02
8.000000000000000000e+02,3.279388398568777035e-02,1.451183773143269011e-02
8.010000000000000000e+02,3.719616154033319327e-02,1.680251003375220556e-02
