# wavelength,transmittance,std
4.950500000000000114e+02,5.914326791702040971e-05,2.022599587389726193e-03
4.960500000000000114e+02,8.543789358672849922e-05,3.615287406320973410e-03
4.970500000000000114e+02,1.395275409674211621e-04,8.085871204224881481e-03
4.980500000000000114e+02,2.795665678069345268e-04,2.231472540043837396e-02
4.990500000000000114e+02,7.214287587626014471e-04,8.629538419483009926e-02
5.000500000000000114e+02,2.648155154898822194e-03,4.537008914349727196e-01
5.010500000000000114e+02,1.545345566920941494e-02,3.580195910840634266e+00
5.020500000000000114e+02,1.017692634899427934e-01,1.657356811505121641e+01
5.030500000000000114e+02,3.640783475233281830e-01,2.852587617415868593e+01
5.040500000000000114e+02,5.561456750675907168e-01,1.823116102381753478e+01
5.050500000000000114e+02,6.256427260859568351e-01,1.012879696855964573e+00
5.060500000000000114e+02,6.278891407436363314e-01,4.579762751342676963e-01
5.070500000000000114e+02,6.256413838312182563e-01,5.770282365340336783e-01
5.080500000000000114e+02,6.256945174469400461e-01,6.392543114023278017e-01
5.090500000000000114e+02,6.325527264861513510e-01,8.599713297429147918e-01
5.100500000000000114e+02,6.385346179803886857e-01,7.159156053190867119e-01
5.110500000000000114e+02,6.434003591254806587e-01,4.938007920429266506e-01
5.120499999999999545e+02,6.456114156450345476e-01,3.648338892806921585e-01
5.130499999999999545e+02,6.463311432587998118e-01,3.240538588480988413e-01
5.140499999999999545e+02,6.442681681737538746e-01,3.457881350530043196e-01
5.150499999999999545e+02,6.421395645877665537e-01,3.418177640766842385e-01
5.160499999999999545e+02,6.404729524013078601e-01,3.529309458311251646e-01
5.170499999999999545e+02,6.409138750987882771e-01,3.699399181357736488e-01
5.180499999999999545e+02,6.414412116321485113e-01,3.739844262948805453e-01
5.190499999999999545e+02,6.427709158029217829e-01,3.929593675502018879e-01
5.200499999999999545e+02,6.428101075739733883e-01,3.739127639577244921e-01
5.210499999999999545e+02,6.381833082985244321e-01,1.158772984408049656e+00
5.220499999999999545e+02,6.085428060283781804e-01,8.586986841880349886e+00
5.230499999999999545e+02,4.561962724341508402e-01,2.151225134776915482e+01
5.240499999999999545e+02,2.220947579108795977e-01,2.693218457585232883e+01
5.250499999999999545e+02,6.857784992857703099e-02,1.253813495197106320e+01
5.260499999999999545e+02,1.336590310905406108e-02,2.325902887986391221e+00
5.270499999999999545e+02,3.191665023892271188e-03,4.563758307457668750e-01
5.280499999999999545e+02,1.038435106304870384e-03,1.191697439738286790e-01
5.290499999999999545e+02,4.120147666442985435e-04,3.866259644199240147e-02
5.300499999999999545e+02,1.762746255578117411e-04,1.482081528312682514e-02
5.310499999999999545e+02,8.164879873817412737e-05,6.149287550093699567e-03
5.320499999999999545e+02,4.663125472822074983e-05,3.144660377352201212e-03
5.330499999999999545e+02,3.065950422022449144e-05,1.751507287389286651e-03
5.340499999999999545e+02,2.006267019629544518e-05,1.180652105380494395e-03
