# wavelength,transmittance,std
5.000000000000000000e+02,7.762643110000970605e-06,1.933725143160974031e-03
5.010000000000000000e+02,7.680844620616310363e-06,2.368479885854420791e-03
5.020000000000000000e+02,9.524259342678082613e-06,1.996056718693740763e-03
5.030000000000000000e+02,7.514764912921124842e-06,2.019200761977797340e-03
5.040000000000000000e+02,9.077898091750981002e-06,2.132386153366858279e-03
5.050000000000000000e+02,8.011839870970361043e-06,2.062924275308370987e-03
5.060000000000000000e+02,5.707758154262910813e-06,2.278578326922116402e-03
5.070000000000000000e+02,7.032881449369880630e-06,2.110555482436897359e-03
5.080000000000000000e+02,9.021488679621803556e-06,2.154886389936916044e-03
5.090000000000000000e+02,7.184194301468832044e-06,2.037501936542427533e-03
5.100000000000000000e+02,8.020119149898682041e-06,2.116099900259623551e-03
5.110000000000000000e+02,7.754409608881693481e-06,2.060180437326651452e-03
5.120000000000000000e+02,7.031137985221851849e-06,2.012561561891720602e-03
5.130000000000000000e+02,7.134849152782186926e-06,2.183501034503251403e-03
5.140000000000000000e+02,6.353761057893548319e-06,2.242360768962438529e-03
5.150000000000000000e+02,9.899867303791735616e-06,2.246860885409650375e-03
5.160000000000000000e+02,8.423232096964845543e-06,2.306687686013883260e-03
5.170000000000000000e+02,7.787533639382657435e-06,2.040474296220208105e-03
5.180000000000000000e+02,7.032017643021266793e-06,2.029977359678694030e-03
5.190000000000000000e+02,7.363119123002191997e-06,2.315756306852530776e-03
5.200000000000000000e+02,1.024561554438911026e-05,2.166107153863862638e-03
5.210000000000000000e+02,9.099677459792911738e-06,2.246681053815996736e-03
5.220000000000000000e+02,1.016052230241419675e-05,2.704952435213543206e-03
5.230000000000000000e+02,4.515877505509223784e-06,2.372634388057701191e-03
5.240000000000000000e+02,9.538995850623905456e-06,2.283250385575862160e-03
5.250000000000000000e+02,1.003451276337526021e-05,2.183501034503250969e-03
5.260000000000000000e+02,1.068911487836620775e-05,2.942187051576538800e-03
5.270000000000000000e+02,1.283295813935180124e-05,2.180237221825722521e-03
5.280000000000000000e+02,2.410423214167853860e-05,2.258631032597874580e-03
5.290000000000000000e+02,4.831195741145885456e-05,2.638564041674978933e-03
5.300000000000000000e+02,1.025262234558889114e-04,3.031417976705777246e-03
