# wavelength,transmittance,std
3.800000000000000000e+02,5.255024352901511472e-06,1.559428799855313132e-03
3.810000000000000000e+02,5.134072388062363543e-06,7.316095442601369941e-04
3.820000000000000000e+02,6.178715383195655534e-06,7.106690545187015467e-04
3.830000000000000000e+02,6.994422727398108310e-06,7.415517445863033285e-04
3.840000000000000000e+02,8.355349511849855258e-06,7.132228744837539741e-04
3.850000000000000000e+02,1.005797717513155776e-05,8.075402232218605210e-04
3.860000000000000000e+02,1.376417974350531462e-05,6.730002176294543753e-04
3.870000000000000000e+02,1.848039971510521509e-05,8.245598764789551600e-04
3.880000000000000000e+02,2.547824546660366665e-05,7.654139963827326669e-04
3.890000000000000000e+02,3.801330738570874118e-05,1.085208167899950936e-03
3.900000000000000000e+02,5.946411245944771789e-05,1.388953533849105826e-03
3.910000000000000000e+02,8.979191921783163445e-05,1.880683305867762939e-03
3.920000000000000000e+02,1.479987704793518839e-04,3.767739187610866496e-03
3.930000000000000000e+02,2.773891148265602712e-04,8.430697875423283361e-03
3.940000000000000000e+02,5.970101681296718921e-04,2.171851837497301360e-02
3.950000000000000000e+02,1.460105125964768517e-03,6.323385808315674927e-02
3.960000000000000000e+02,4.266813100968496093e-03,2.204840576934525009e-01
3.970000000000000000e+02,1.543991506495711284e-02,9.361348527457209467e-01
3.980000000000000000e+02,6.278704951360442044e-02,4.018803664190766511e+00
3.990000000000000000e+02,2.192660362627744108e-01,1.007597076539280678e+01
4.000000000000000000e+02,4.548637341356844832e-01,7.726854375024048593e+00
4.010000000000000000e+02,5.355877456444674278e-01,9.386194646361963878e-01
4.020000000000000000e+02,5.395756068869328459e-01,3.382121937183788507e-01
4.030000000000000000e+02,5.503351061920647158e-01,4.752049212410549561e-01
4.040000000000000000e+02,5.598938095656340597e-01,3.178959900738769773e-01
4.050000000000000000e+02,5.639283516495611215e-01,3.182598576159065829e-01
4.060000000000000000e+02,5.678274162678578207e-01,2.988247368163046702e-01
4.070000000000000000e+02,5.723056175827946346e-01,2.456213469155442419e-01
4.080000000000000000e+02,5.764673779326399128e-01,2.322241611247654047e-01
4.090000000000000000e+02,5.798507872765867877e-01,2.455572438353230691e-01
4.100000000000000000e+02,5.834062983506461686e-01,2.786468827252967517e-01
4.110000000000000000e+02,5.873407366131379037e-01,2.932363701655691934e-01
4.120000000000000000e+02,5.900920421100687152e-01,2.544473946942011899e-01
4.130000000000000000e+02,5.918139184512010154e-01,2.194595498956562474e-01
4.140000000000000000e+02,5.928102653087048424e-01,2.205337993747596148e-01
4.150000000000000000e+02,5.945165905070317613e-01,2.441465156644905266e-01
4.160000000000000000e+02,5.976689920758910812e-01,2.594629457206179546e-01
4.170000000000000000e+02,5.969571359886604034e-01,7.160086983840460162e-01
4.180000000000000000e+02,5.501938178777129318e-01,4.496791086301251461e+00
4.190000000000000000e+02,3.849152049109335061e-01,9.322884602038646662e+00
4.200000000000000000e+02,1.769218671352323635e-01,7.148422851301543979e+00
4.210000000000000000e+02,6.206772157511813298e-02,2.785945827658259599e+00
4.220000000000000000e+02,2.202386036898100474e-02,9.154461130282797177e-01
4.230000000000000000e+02,8.670756432805598601e-03,3.211946039963368138e-01
4.240000000000000000e+02,3.738733827775215287e-03,1.235217790472186161e-01
4.250000000000000000e+02,1.772602722114073690e-03,5.283128855616764374e-02
4.260000000000000000e+02,8.949916243038521417e-04,2.381048067341333396e-02
4.270000000000000000e+02,4.811664459655402067e-04,1.164621150521672442e-02
4.280000000000000000e+02,2.755284581320239980e-04,5.834856943880934593e-03
4.290000000000000000e+02,1.660551694639513301e-04,3.299510217709240249e-03
4.300000000000000000e+02,1.053097345579333369e-04,1.965253729731156716e-03
4.310000000000000000e+02,6.919065008904023691e-05,1.322532006830424208e-03
4.320000000000000000e+02,4.800585051947650129e-05,9.500664516897029547e-04
4.330000000000000000e+02,3.511842919649609739e-05,6.824643402827548040e-04
4.340000000000000000e+02,2.706987923607526763e-05,6.813533769215679523e-04
4.350000000000000000e+02,2.179953471971901290e-05,6.195469181897234794e-04
4.360000000000000000e+02,1.788376337674042274e-05,6.321360293449183616e-04
4.370000000000000000e+02,1.570365011620626606e-05,6.435381994422818396e-04
4.380000000000000000e+02,1.354227539172680944e-05,5.681797979762065248e-04
4.390000000000000000e+02,1.294069399405022361e-05,6.497085593719788927e-04
